"CODMUNRES","n_nasc_vivos","ANONASC","Cardiopatias","Membros","Neural","Fendas","Microcefalia","nome","latitude","longitude"
"431477",35,2014,0,0,0,0,0,"Pontão",-28.0585,-52.6791
"431478",11,2014,0,0,0,0,0,"Ponte Preta",-27.6587,-52.4848
"431480",430,2014,1,2,1,0,0,"Portão",-29.7015,-51.2429
"431490",19189,2014,42,48,12,11,2,"Porto Alegre",-30.0318,-51.2065
"431500",37,2014,0,1,0,0,0,"Porto Lucena",-27.8569,-55.01
"431505",18,2014,1,0,0,0,0,"Porto Mauá",-27.5796,-54.6657
"431507",11,2014,0,0,0,0,0,"Porto Vera Cruz",-27.7405,-54.8994
"431510",141,2014,1,0,0,0,0,"Porto Xavier",-27.9082,-55.1379
"431513",14,2014,0,0,0,0,0,"Pouso Novo",-29.1738,-52.2136
"431514",28,2014,0,0,0,0,0,"Presidente Lucena",-29.5175,-51.1798
"431515",45,2014,0,0,0,0,0,"Progresso",-29.2441,-52.3197
"431517",12,2014,0,0,0,0,0,"Protásio Alves",-28.7572,-51.4757
"431520",34,2014,0,0,0,0,0,"Putinga",-29.0045,-52.1569
"431530",306,2014,0,2,0,0,0,"Quaraí",-30.384,-56.4483
"431531",21,2014,0,0,0,0,0,"Quatro Irmãos",-27.8257,-52.4424
"431532",19,2014,0,1,0,0,0,"Quevedos",-29.3504,-54.0789
"431535",38,2014,0,0,0,1,0,"Quinze de Novembro",-28.7466,-53.1011
"431540",212,2014,0,0,0,0,0,"Redentora",-27.664,-53.6407
"431545",12,2014,0,0,1,0,0,"Relvado",-29.1164,-52.0778
"431550",165,2014,0,0,0,0,0,"Restinga Sêca",-29.8188,-53.3807
"431555",28,2014,0,0,0,0,0,"Rio dos Índios",-27.2973,-52.8417
